Smiles,Rf,XGB,SVM,Mean
N1=C(CC(C(=O)Nc2ccc(C(=O)C)cc2)O1)c1cc(c(cc1)OC)OC,0.395941605,0.99751306,0.65020353,0.681219397
c1(sc2c(c1Cl)cccc2)C(=O)Nc1nc2c(s1)cc(cc2)F,0.487988362,0.87355363,0.681533681,0.681025226
c1(c2c([nH]c1)ccc(c2)OC)C(c1cc(OCc2ccccc2)ccc1)CC(=O)NCc1ccccc1,0.546523175,0.95050544,0.541804274,0.679610961
c1(nc2c(s1)cc(cc2)C)NC(=O)c1c(O)cccc1,0.528256253,0.9719241,0.538555597,0.679578659
c1(nc2n(c1)cc(cc2)Cl)C(=O)Nc1cc2c([nH]cc2)cc1,0.47227191,0.92562693,0.640352567,0.679417137
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc2c(OCCO2)cc1,0.448064117,0.9837711,0.605946904,0.679260702
c1(nc(sc1)c1ccc(OCc2cc(F)ccc2)cc1)C(=O)Nc1ccccc1,0.562189136,0.94306284,0.529649978,0.678300652
c1(nc2c(s1)cc(NC(=O)C)cc2)NC(=O)c1ccc(Cc2ccccc2)cc1,0.579887354,0.8902001,0.564783916,0.67829045
N1(C(=O)C(NC(=O)Cc2c[nH]c3c2cccc3)c2ccccc2)c2c(CCC1)cccc2,0.509549779,0.94195116,0.582004401,0.677835112
c1(nc2c(s1)cc(cc2)C)NC(=O)c1ccc(cc1)OC,0.516191649,0.9155799,0.600216661,0.677329408
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(c(c2nc3c(o2)cccc3)cc1)O,0.446178625,0.9928652,0.592670669,0.677238166
c1(nc2c(s1)cc(cc2)OC)NC(=O)c1cc(OC)ccc1,0.532689902,0.91611445,0.581246342,0.676683565
c1(nc2c(s1)cc(NC(=O)CCc1ccc(cc1)OC)cc2)NC(=O)c1ccccc1,0.53617707,0.97600937,0.516275129,0.676153856
c1(sc2c(c1Cl)cccc2)C(=O)Nc1ccc(C(=O)c2ccccc2)cc1,0.460421204,0.97054976,0.597115654,0.676028873
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(C(=O)C)ccc1,0.463705223,0.9824249,0.579341818,0.675157319
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(cc(c1)OC)OC,0.438175366,0.9331255,0.653164456,0.674821773
n1c(oc(n1)COc1ccc(NC(=O)c2cocc2)cc1)c1ccc(cc1)Cl,0.512759664,0.97534686,0.536272553,0.674793027
S(=O)(=O)(Nc1cc(c2c3c(ccc2O)cccc3)c(cc1)O)c1ccc(cc1)Cl,0.444260063,0.9948592,0.581143695,0.673420992
c1(sc2c(c1Cl)ccc(c2)c1ccccc1)C(=O)Nc1ccc(cc1)OC,0.481034728,0.9370045,0.601234444,0.673091226
c1(nc2c(s1)cc(NC(=O)CC)cc2)SCC(=O)Nc1ccc(C(=O)C)cc1,0.476521097,0.94945675,0.590204975,0.672060941
c1(nc2c(s1)cc(cc2)C)NC(=O)c1cc(NC(=O)CC)ccc1,0.556629576,0.90938634,0.549686536,0.671900816
N1=C(CC(C(=O)Nc2cc3c(OCO3)cc2)O1)c1cc(c(cc1)OC)OC,0.42485203,0.9977187,0.592997896,0.671856206
c1(nnc(s1)COc1ccccc1)C(=O)Nc1cc(C(=O)NCc2cc(OC)ccc2)ccc1,0.541560743,0.97921914,0.492524964,0.671101615
S(=O)(=O)(N(C(=O)c1ccc(cc1)OC)Cc1ccccc1)c1cc2n(c(=O)n(c2cc1)C)C,0.390046365,0.9835591,0.638203897,0.670603111
n1(nc(C(=O)Nc2ccc(cc2)OC)ccc1=O)CC(=O)Nc1cc(C(=O)C)ccc1,0.435341901,0.982941,0.592631737,0.67030487
c1(sc2c(c1Cl)cccc2)C(=O)Nc1ccccc1,0.474711501,0.8987907,0.635553022,0.66968508
c12nc(cn1cccn2)c1cc(NC(=O)c2cc(C(F)(F)F)ccc2)ccc1,0.436495627,0.8960862,0.675988412,0.669523418
N1=C(CC(C(=O)Nc2cc(c(cc2)OC)OC)O1)c1ccc(cc1)OC,0.425158699,0.9985985,0.583732637,0.669163284
c1(nc2c(s1)cccc2)NC(=O)c1cc(F)ccc1,0.537518577,0.95501125,0.513149669,0.668559831
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(c(cc1)OC)OC,0.429248847,0.9779319,0.597224322,0.668135029
N1=C(CC(C(=O)Nc2cc(C(F)(F)F)ccc2)O1)c1ccc(cc1)OC,0.40369285,0.98894495,0.611393884,0.668010561
C(=O)(NC(C(=O)NCCCOCC)c1ccc(cc1)OC)c1c(O)cccc1,0.521280438,0.98704976,0.487902874,0.665411024
c1(nnc(s1)COc1cc(c(cc1)OC)OC)C(=O)Nc1ccc(C(=O)NCc2ccccc2)cc1,0.505100217,0.97374207,0.515633759,0.664825348
c1(nc2c(s1)cc(NC(=O)Cc1ccc(cc1)OC)cc2)NC(=O)c1ccccc1,0.541121895,0.9637968,0.488843697,0.664587462
N(C(=O)Nc1cc(ccc1)C(=O)C)[C@@H](C(=O)N1CCC(CC1)C(=O)Nc1ccc(cc1)OC)Cc1ccccc1,0.471712833,0.95606524,0.563766506,0.663848192
c12nc(cn1cccn2)c1cc(NC(=O)c2cc(cc(c2)OC)OC)ccc1,0.441148424,0.95130044,0.597306104,0.663251657
n1nc(c2cc(NC(=O)NCc3ccc(cc3)OC)ccc2)ccc1N1CCOCC1,0.42543191,0.9846459,0.579382867,0.66315356
N1=C(CC(C(=O)Nc2cc(c(cc2)OC)OC)O1)c1cc(OC)ccc1,0.439785421,0.9937216,0.55381184,0.662439622
n1c(noc1C1CCN(C(=O)c2cc3[nH]ccc3cc2)CC1)c1ccc(NC(=O)C)cc1,0.436780675,0.9115718,0.638506048,0.662286175
c1(nnc(s1)COc1ccccc1)C(=O)Nc1ccc(C(=O)NCc2cc(OC)ccc2)cc1,0.491493735,0.96929616,0.5223617,0.661050531
N1(C(=O)C(NC(=O)c2ccc(cc2)OC)c2ccccc2)c2c(CCC1)cccc2,0.494272542,0.9957218,0.492793919,0.660929426
c1(nnc(s1)COc1ccccc1)C(=O)Nc1cc(C(=O)NCCc2c[nH]c3c2cccc3)ccc1,0.49195341,0.981868,0.508899889,0.660907109
C(=O)(C(NC(=O)CNC(=O)C)c1ccc(cc1)OC)Nc1ccc(cc1)C(C)C,0.524770819,0.9886828,0.468420071,0.660624566
c1(nc2c(s1)cc(NC(=O)COc1ccccc1)cc2)NC(=O)c1ccccc1,0.549387357,0.8462296,0.585738612,0.660451861
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(cc(c1)Oc1ccc(F)cc1)Oc1ccc(F)cc1,0.447540477,0.9057014,0.626637715,0.659959863
c1(sc(nn1)C1CC1)C(=O)Nc1cc(C(=O)NCc2cc(OC)ccc2)ccc1,0.444492344,0.97130305,0.563963426,0.659919605
c1(nc2c(s1)cc(cc2)C)c1ccc(NC(=O)C(NC(=O)OCC(C)C)Cc2c[nH]c3c2cccc3)cc1,0.522889493,0.8827646,0.572998228,0.659550766
N1=C(CC(C(=O)Nc2cc(C(F)(F)F)ccc2)O1)c1cc(OC)ccc1,0.42053387,0.9873059,0.56910238,0.65898071
c1(c[nH]c2c1cccc2)CC(C(=O)Nc1ccccc1)NC(=O)OCc1ccccc1,0.497153645,0.8942074,0.585443022,0.658934695
c1(cc(n(n1)Cc1ccccc1)C(=O)Nc1cc(C(F)(F)F)ccc1)[N+](=O)[O-],0.390433719,0.9668102,0.618931995,0.658725313
c1(nc2c(s1)cc(NC(=O)Cc1ccccc1)cc2)NC(=O)c1ccccc1,0.573336133,0.83497214,0.56621132,0.658173199
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc2NC(=O)COc2cc1,0.451421456,0.98225605,0.539742342,0.657806618
S(=O)(=O)(Nc1cc(c2c3c(ccc2O)cccc3)c(cc1)O)c1ccc(cc1)OCC,0.448344702,0.9969273,0.526171317,0.65714778
c1(sc2c(c1Cl)cccc2)C(=O)Nc1cc(c2nc3c(o2)cccc3)c(cc1)O,0.454488012,0.9944722,0.522350848,0.657103689
c1(nc2c(s1)cc(NC(=O)CCC)cc2)NC(=O)c1ccccc1,0.538760357,0.91338766,0.519080917,0.65707631
C(=O)(N1CCC(C(=O)Nc2cc(cc(c2)F)F)CC1)c1cc(F)ccc1,0.416415882,0.9584617,0.594361823,0.656413136
c1(nc2c(s1)cc(NC(=O)C1CCC1)cc2)NC(=O)c1ccccc1,0.558183685,0.8786635,0.532269099,0.656372088
N1=C(CC(C(=O)Nc2cc(C(=O)C)ccc2)O1)c1ccc(cc1)OC,0.398852847,0.99466115,0.574425605,0.655979868
N1=C(c2c(ccc(c2)OC)OC)CC(C(=O)Nc2cc(c(cc2)OC)OC)O1,0.431950176,0.99409854,0.541650213,0.655899644
c1(nnc(s1)CC(C)C)C(=O)Nc1ccc(C(=O)NCc2cc(OC)ccc2)cc1,0.40304336,0.9837316,0.578770236,0.655181741
n1c2n(c(cc1N1CCN(C(=O)c3ccc(cc3)OCC)CC1)CCC)cnn2,0.417611939,0.90790313,0.638105656,0.654540243
c1(nc2c(s1)cc(cc2)C)NC(=O)C(NC(=O)OCc1ccccc1)Cc1ccccc1,0.536824074,0.76475906,0.660985161,0.654189433
c1(c[nH]c2c1cccc2)CC(=O)Nc1ccc(OCc2ccccc2)cc1,0.573198296,0.810972,0.574157007,0.652775759
c1(nsc2c1cccc2)C(=O)Nc1ccc(C(=O)NCc2cc(OC)ccc2)cc1,0.436434437,0.9971732,0.521811519,0.651806382
N1=C(CC(C(=O)Nc2cc(C(=O)C)ccc2)O1)c1cc(OC)ccc1,0.426707014,0.99485284,0.533440162,0.651666672
c1(nc2c(s1)cc(NC(=O)C(c1ccccc1)CC)cc2)NC(=O)c1ccccc1,0.565268424,0.87356293,0.514115337,0.650982231
C(=O)(c1ccc(NC(=O)COc2ccc(cc2)CCC)cc1)OCCCC,0.448734841,0.93188024,0.572176934,0.65093067
c1(NC(=O)c2csc(n2)c2ccc(OCc3cc(F)ccc3)cc2)ccc(F)cc1,0.526630703,0.90057814,0.524842935,0.650683926
N1=C(CC(C(=O)Nc2ccc(cc2)OC)O1)c1cc(OC)ccc1,0.382290521,0.9812898,0.58763038,0.650403569
